exp_v13 FI

============================================================
fijo | cat4=8.8% occ=0.7%
============================================================
                      gain  splits  gain_pct
tn_11               2374.2     195       0.3
ncli_pend_3         2365.4     182       0.3
ma3_lag9            2361.9     170       0.3
c4_tn_19            2311.3     165       0.3
c4_tn_7             2255.3     168       0.3
sh_acel             2243.6     191       0.3
roll_med_12         2224.0     189       0.3
dmax_24             2222.0     158       0.3
ncli_pend_6         2219.1     172       0.3
log_prom            2211.9     169       0.3
tn_18               2202.5     185       0.3
tn_2                2202.2     169       0.3
basket_idx          2174.2     180       0.2
diff_3_4            2145.8     188       0.2
tn_8                2145.5     188       0.2
dmax_12             2141.6     122       0.2
tn_22               2128.5     167       0.2
ma3_lag6            2100.9     170       0.2
tn_10               2067.9     181       0.2
c3_tn_17            2043.9     149       0.2
cv                  2043.0     160       0.2
c4_tn_21            2029.2     134       0.2
c4_r_yoy_tri        2024.8     151       0.2
c4_tn_20            2021.7     146       0.2
tn_7                2018.5     172       0.2
sh_pend_3           2005.5     175       0.2
pred_ols_yoy        1998.3     161       0.2
c4_roll_med_12      1995.1     162       0.2
c4_diff_2_3         1977.6     156       0.2
sh4_pend_6          1947.3     164       0.2
tn_9                1928.2     167       0.2
occ_demanda_esp     1913.7     147       0.2
sh4_pend_3          1911.5     164       0.2
c3_tn_16            1905.5     140       0.2
sh4_prom12          1904.3     157       0.2
c4_tn_18            1887.3     146       0.2
tn_20               1885.9     161       0.2
c4_diff_0_12        1866.5     154       0.2
s6                  1861.8     124       0.2
c4_log_prom         1859.2     137       0.2
roll_min_6          1852.8     149       0.2
c4_tn_23            1838.7     130       0.2
c4_tn_12            1833.0     141       0.2
tn_5                1829.3     157       0.2
c4_cv               1823.6     129       0.2
tn_4                1821.1     150       0.2
sh4_acel            1798.5     147       0.2
tn_21               1781.1     153       0.2
ma3_lag3            1780.3     143       0.2
diff_4_5            1772.0     156       0.2
diff_5_6            1764.6     153       0.2
c4_tn_11            1764.0     144       0.2
diff_1_2            1726.1     141       0.2
roll_max_6          1715.5     144       0.2
c3_tn_19            1707.4     121       0.2
c4_tn_8             1701.6     131       0.2
c3_tn_20            1692.0     129       0.2
c3_tn_23            1690.3     117       0.2
tn_6                1664.6     143       0.2
c4_tn_6             1660.5     128       0.2
roll_max_12         1656.2     142       0.2
diff_2_3            1655.9     141       0.2
r_1_2               1655.5     140       0.2
c4_diff_1_2         1645.8     132       0.2
c4_dprom_24         1642.3     112       0.2
c3_tn_18            1634.8     124       0.2
c4_dmax_12          1625.4     120       0.2
c4_tn_3             1621.7     121       0.2
roll_min_12         1608.9     128       0.2
sh_pend_6           1603.9     135       0.2
c4_tn_4             1601.4     130       0.2
c3_tn_21            1596.3     100       0.2
c3_tn_8             1593.2     117       0.2
sh_ma3_lag3         1576.5     128       0.2
pend_6              1568.7     115       0.2
c3_tn_6             1560.3     126       0.2
c4_s3               1543.4     111       0.2
c3_diff_0_12        1535.7     121       0.2
c3_diff_1_2         1532.8     129       0.2
dprom_6             1527.9     124       0.2
c3_tn_14            1525.3     122       0.2
c3_r_0_1            1506.5     117       0.2
c3_roll_med_12      1491.6     112       0.2
diff_0_1            1490.8     120       0.2
c3_diff_2_3         1467.0     113       0.2
c3_tn_12            1452.2     120       0.2
sh4_0               1447.1     117       0.2
c4_r_tri            1446.3      60       0.2
roll_med_6          1445.9     114       0.2
roll_std_6          1407.7     124       0.2
c3_tn_2             1405.1      99       0.2
c3_tn_7             1399.7     109       0.2
dmin_24             1397.3     118       0.2
c4_tn_2             1390.9     110       0.2
dmax_6              1384.3     113       0.2
r_0_1               1381.2     118       0.2
r_02_34             1373.1     119       0.2
c3_pend_12          1360.5      96       0.2
c3_tn_3             1353.9      99       0.2
c4_ma3_lag3         1335.4      94       0.2
c4_tn_5             1319.9      99       0.2
dmin_12             1248.8      85       0.1
c4_roll_med_3       1237.7      93       0.1
